Longitude,Latitude,vin cnt
-84.0486872,33.9286648,367
-84.0476137,33.9293944,289
-84.043815,34.1116194,6
-84.0424383,33.3221967,47
-84.0387566,33.6689789,165
-84.0377655,33.6655355,20
-84.0373797,33.6669822,785
-84.034674,33.665869,1386
-84.0333396,34.1071794,148
-84.032019,33.8556045,5
-84.0285838,33.8546609,301
-84.0228466,33.6591385,151
-84.0218412,34.3391447,69
-84.0210875,33.8569889,1
-84.0168541,34.0996657,1166
-84.0165027,33.6578781,773
-84.0143792,33.6407171,888
-84.0111378,34.8617178,118
-84.0105394,34.0954221,775
-84.0096691,34.0939018,233
-84.0074966,34.0926634,2826
-84.0067848,34.09157,882
-84.005045,33.9614773,1231
-84.0044098,34.1065047,1553
-84.0032431,34.0939972,23
-84.0015487,33.9579452,62
-83.9999424,34.1092915,249
-83.9980805,33.8560976,222
-83.9971528,33.9262276,1447
-83.9912814,34.0326909,10
-83.9907591,33.6459776,1291
-83.9903652,34.8528269,242
-83.9894923,33.9446744,81
-83.9888665,34.0843005,1534
-83.9884119,34.0849567,1068
-83.9882394,34.081092,1909
-83.9882081,33.9446966,206
-83.98779,34.44428,191
-83.9875292,34.1539901,13
-83.9867542,33.9717821,14
-83.9864321,34.0829206,1120
-83.9860252,33.9741949,581
-83.9859491,33.967353,78
-83.9859268,34.1533429,678
-83.985802,34.0818739,1882
-83.9856608,33.9685329,321
-83.985571,34.0776879,933
-83.985008,33.6392536,2947
-83.9848013,34.1423375,135
-83.9846161,34.0798993,2
-83.9846159,34.0784928,1002
-83.9834142,34.0778464,1940
-83.9831266,34.0762046,675
-83.9803708,34.1298925,138
-83.9784773,33.9693711,98
-83.9673432,33.2932764,11
-83.9591712,33.8873398,225
-83.9454888,33.9873515,8
-83.9426417,33.8564729,207
-83.9425914,33.8542939,125
-83.9406357,33.8822953,70
-83.940064,33.8150252,465
-83.9396386,33.8151791,10
-83.9345325,34.2646726,30
-83.9291641,33.8537037,8
-83.9291493,33.8531564,53
-83.9287444,33.981858,35
-83.9160919,33.8498652,174
-83.9158579,33.8481248,571
-83.9130179,33.0287676,5
-83.9129884,34.1959863,57
-83.909621,33.0104096,17
-83.907771,34.2750068,13
-83.9025026,34.1924585,148
-83.8982934,33.8440545,22
-83.8978815,33.8436097,93
-83.895701,34.207362,2
-83.8950042,34.2292795,28
-83.894341,34.2429045,12
-83.880484,33.606363,441
-83.873566,34.277698,596
-83.8726063,34.2772914,506
-83.868973,33.8306035,378
-83.8688353,34.2217644,129
